Lake Level (masl),Area (Ha),Available Volume (m3)
378.51,237,13136773
378.52,237,13160514
378.53,238,13184277
378.54,238,13208062
378.55,238,13231868
378.56,238,13255697
378.57,239,13279547
378.58,239,13303419
378.59,239,13327314
378.6,239,13351230
378.61,239,13375168
378.62,240,13399127
378.63,240,13423109
378.64,240,13447112
378.65,240,13471138
378.66,240,13495185
378.67,241,13519254
378.68,241,13543345
378.69,241,13567457
378.7,241,13591592
378.71,242,13615748
378.72,242,13639926
378.73,242,13664124
378.74,242,13688344
378.75,242,13712585
378.76,243,13736847
378.77,243,13761130
378.78,243,13785436
378.79,243,13809764
378.8,243,13834113
378.81,244,13858484
378.82,244,13882876
378.83,244,13907287
378.84,244,13931720
378.85,245,13956172
378.86,245,13980646
378.87,245,14005140
378.88,245,14029655
378.89,245,14054191
378.9,246,14078748
378.91,246,14103325
378.92,246,14127924
378.93,246,14152544
378.94,246,14177184
378.95,247,14201846
378.96,247,14226530
378.97,247,14251235
378.98,247,14275961
378.99,247,14300707
379,248,14325475
379.01,248,14350263
379.02,248,14375072
379.03,248,14399902
379.04,249,14424752
379.05,249,14449625
379.06,249,14474518
379.07,249,14499433
379.08,249,14524370
379.09,250,14549328
379.1,250,14574306
379.11,250,14599306
379.12,250,14624327
379.13,250,14649369
379.14,251,14674432
379.15,251,14699517
379.16,251,14724623
379.17,251,14749751
379.18,251,14774901
379.19,252,14800072
379.2,252,14825265
379.21,252,14850480
379.22,252,14875717
379.23,253,14900976
379.24,253,14926257
379.25,253,14951559
379.26,253,14976882
379.27,253,15002227
379.28,254,15027592
379.29,254,15052979
379.3,254,15078388
379.31,254,15103818
379.32,255,15129269
379.33,255,15154742
379.34,255,15180237
379.35,255,15205753
379.36,255,15231291
379.37,256,15256852
379.38,256,15282433
379.39,256,15308036
379.4,256,15333660
379.41,256,15359306
379.42,257,15384974
379.43,257,15410664
379.44,257,15436376
379.45,257,15462110
379.46,258,15487867
379.47,258,15513646
379.48,258,15539447
379.49,258,15565271
379.5,258,15591119
379.51,259,15616990
379.52,259,15642885
379.53,259,15668803
379.54,259,15694744
379.55,260,15720711
379.56,260,15746702
379.57,260,15772720
379.58,260,15798765
379.59,261,15824838
379.6,261,15850938
379.61,261,15877069
379.62,262,15903228
379.63,262,15929416
379.64,262,15955631
379.65,262,15981874
379.66,263,16008144
379.67,263,16034443
379.68,263,16060767
379.69,264,16087118
379.7,264,16113494
379.71,264,16139895
379.72,264,16166322
379.73,265,16192774
379.74,265,16219250
379.75,265,16245752
379.76,265,16272279
379.77,266,16298831
379.78,266,16325408
379.79,266,16352011
379.8,266,16378638
379.81,267,16405289
379.82,267,16431963
379.83,267,16458662
379.84,267,16485384
379.85,267,16512130
379.86,268,16538900
379.87,268,16565693
379.88,268,16592510
379.89,268,16619349
379.9,269,16646211
379.91,269,16673097
379.92,269,16700006
379.93,269,16726939
379.94,270,16753896
379.95,270,16780877
379.96,270,16807882
379.97,270,16834911
379.98,271,16861964
379.99,271,16889041
380,271,16916142
380.01,271,16943268
380.02,272,16970418
380.03,272,16997593
380.04,272,17024793
380.05,272,17052019
380.06,273,17079271
380.07,273,17106548
380.08,273,17133849
380.09,273,17161176
380.1,274,17188528
380.11,274,17215905
380.12,274,17243307
380.13,274,17270735
380.14,275,17298189
380.15,275,17325670
380.16,275,17353176
380.17,275,17380710
380.18,276,17408271
380.19,276,17435859
380.2,276,17463474
380.21,276,17491117
380.22,277,17518788
380.23,277,17546488
380.24,277,17574216
380.25,278,17601972
380.26,278,17629755
380.27,278,17657565
380.28,278,17685403
380.29,279,17713267
380.3,279,17741158
380.31,279,17769076
380.32,279,17797021
380.33,280,17824993
380.34,280,17852993
380.35,280,17881020
380.36,281,17909076
380.37,281,17937159
380.38,281,17965271
380.39,281,17993410
380.4,282,18021577
380.41,282,18049773
380.42,282,18077998
380.43,283,18106251
380.44,283,18134534
380.45,283,18162846
380.46,283,18191186
380.47,284,18219556
380.48,284,18247955
380.49,284,18276385
380.5,285,18304844
380.51,285,18333332
380.52,285,18361849
380.53,285,18390393
380.54,286,18418966
380.55,286,18447566
380.56,286,18476194
380.57,287,18504851
380.58,287,18533536
380.59,287,18562249
380.6,287,18590990
380.61,288,18619760
380.62,288,18648557
380.63,288,18677383
380.64,289,18706238
380.65,289,18735122
380.66,289,18764035
380.67,289,18792977
380.68,290,18821949
380.69,290,18850949
380.7,290,18879979
380.71,291,18909037
380.72,291,18938123
380.73,291,18967239
380.74,291,18996383
380.75,292,19025557
380.76,292,19054759
380.77,292,19083989
380.78,293,19113247
380.79,293,19142534
380.8,293,19171848
380.81,293,19201189
380.82,294,19230559
380.83,294,19259957
380.84,294,19289382
380.85,295,19318835
380.86,295,19348315
380.87,295,19377823
380.88,295,19407359
380.89,296,19436923
380.9,296,19466514
380.91,296,19496133
380.92,296,19525781
380.93,297,19555457
380.94,297,19585161
380.95,297,19614893
380.96,298,19644653
380.97,298,19674441
380.98,298,19704258
380.99,298,19734105
381,299,19763980
381.01,299,19793883
381.02,299,19823815
381.03,300,19853776
381.04,300,19883765
381.05,300,19913784
381.06,300,19943831
381.07,301,19973908
381.08,301,20004013
381.09,301,20034148
381.1,302,20064311
381.11,302,20094502
381.12,302,20124722
381.13,302,20154971
381.14,303,20185247
381.15,303,20215552
381.16,303,20245886
381.17,304,20276247
381.18,304,20306637
381.19,304,20337055
381.2,304,20367502
381.21,305,20397978
381.22,305,20428483
381.23,305,20459017
381.24,306,20489583
381.25,306,20520180
381.26,306,20550807
381.27,307,20581463
381.28,307,20612147
381.29,307,20642861
381.3,307,20673603
381.31,308,20704374
381.32,308,20735174
381.33,308,20766002
381.34,309,20796859
381.35,309,20827743
381.36,309,20858656
381.37,309,20889597
381.38,310,20920566
381.39,310,20951563
381.4,310,20982589
381.41,311,21013644
381.42,311,21044733
381.43,311,21075856
381.44,312,21107010
381.45,312,21138193
381.46,312,21169405
381.47,312,21200646
381.48,313,21231916
381.49,313,21263215
381.5,313,21294544
381.51,314,21325902
381.52,314,21357289
381.53,314,21388706
381.54,314,21420152
381.55,315,21451629
381.56,315,21483134
381.57,315,21514670
381.58,316,21546235
381.59,316,21577829
381.6,316,21609451
381.61,317,21641104
381.62,317,21672785
381.63,317,21704497
381.64,317,21736238
381.65,318,21768009
381.66,318,21799811
381.67,318,21831644
381.68,319,21863507
381.69,319,21895400
381.7,319,21927323
381.71,320,21959275
381.72,320,21991258
381.73,320,22023270
381.74,320,22055311
381.75,321,22087382
381.76,321,22119482
381.77,321,22151611
381.78,322,22183770
381.79,322,22215958
381.8,322,22248174
381.81,322,22280420
381.82,323,22312696
381.83,323,22345000
381.84,323,22377333
381.85,324,22409695
381.86,324,22442086
381.87,324,22474505
381.88,324,22506953
381.89,325,22539428
381.9,325,22571933
381.91,325,22604465
381.92,326,22637026
381.93,326,22669616
381.94,326,22702235
381.95,326,22734882
381.96,327,22767559
381.97,327,22800263
381.98,327,22832996
381.99,328,22865758
382,328,22898549
382.01,328,22931369
382.02,328,22964218
382.03,329,22997094
382.04,329,23029999
382.05,329,23062931
382.06,330,23095891
382.07,330,23128878
382.08,330,23161893
382.09,330,23194935
382.1,331,23228005
382.11,331,23261102
